7,34,56,0,1,0,1,21,5,0.5714285714285714,0.0,3
6,18,43,1,0,0,0,18,0,0.0,0.0,1
5,16,36,0,1,1,0,15,3,0.2,0.4,3
4,16,26,1,0,0,0,12,2,0.25,0.0,1
3,12,19,0,0,1,0,9,0,0.0,0.0,1
2,16,16,1,0,0,0,6,2,0.5,0.5,0
1,3,3,0,0,0,0,3,1,0.0,0.0,0
1,12,12,0,0,1,0,3,0,0.0,0.0,1
2,14,16,1,0,0,0,6,1,0.0,0.0,1
3,11,18,0,0,0,0,9,3,0.6666666666666666,0.0,0
4,16,25,0,1,0,0,12,0,0.0,0.0,0
5,13,35,0,1,0,1,15,4,0.4,0.6,1
6,25,49,1,0,1,0,18,3,0.3333333333333333,0.0,6
7,18,50,0,1,0,0,21,0,0.0,0.0,0
7,40,61,1,0,1,1,21,4,0.14285714285714285,0.42857142857142855,5
6,14,31,0,0,0,0,18,3,0.3333333333333333,0.0,0
5,16,30,0,0,0,0,15,0,0.0,0.0,0
4,19,39,0,0,0,2,12,3,0.0,0.5,2
3,6,11,0,0,0,0,9,2,0.3333333333333333,0.0,0
2,6,10,0,0,0,0,6,0,0.0,0.0,1
1,3,3,0,0,0,0,3,1,1.0,1.0,0
1,4,4,0,0,0,0,3,1,1.0,0.0,0
2,10,16,0,0,0,0,6,0,0.0,0.0,1
3,18,18,0,0,0,0,9,3,0.3333333333333333,0.6666666666666666,0
4,14,41,1,0,1,0,12,4,0.75,0.0,1
5,13,40,0,1,0,0,15,0,0.0,0.0,1
6,14,40,0,0,0,0,18,5,0.16666666666666666,0.6666666666666666,2
7,27,59,0,1,1,2,21,3,0.2857142857142857,0.0,2
7,51,68,1,1,0,0,21,0,0.0,0.0,6
6,38,53,0,1,1,0,18,3,0.16666666666666666,0.3333333333333333,2
5,34,57,1,1,1,1,15,3,0.4,0.0,1
7,26,52,0,0,1,0,21,3,0.2857142857142857,0.0,4
7,19,52,0,1,1,0,21,7,0.2857142857142857,0.8571428571428571,2
6,23,44,0,1,0,0,18,0,0.0,0.0,0
6,24,49,1,0,0,1,18,1,0.0,0.0,5
5,27,46,0,2,0,0,15,2,0.2,0.2,4
5,32,43,0,0,1,1,15,0,0.0,0.0,1
4,11,26,0,0,0,1,12,2,0.25,0.0,0
4,22,39,1,0,0,1,12,2,0.25,0.25,2
3,14,24,1,0,0,0,9,0,0.0,0.0,1
