7,27,47,0,0,0,0,21,0,0.0,0.0,0
6,33,53,1,0,0,1,18,5,0.0,0.6666666666666666,0
5,17,33,0,1,0,0,15,1,0.0,0.0,2
4,13,32,0,0,0,0,12,0,0.0,0.0,4
3,13,16,0,0,0,0,9,2,0.3333333333333333,0.3333333333333333,0
2,14,17,1,0,0,0,6,2,0.0,0.5,1
1,2,2,0,0,0,0,3,0,0.0,0.0,1
1,7,7,0,0,0,0,3,1,0.0,0.0,0
2,14,26,1,0,1,0,6,2,0.0,0.5,1
3,14,27,0,1,0,1,9,0,0.0,0.0,0
4,14,26,0,0,0,0,12,4,0.0,0.75,0
5,17,41,1,1,0,0,15,4,0.0,0.6,0
6,25,69,2,2,1,0,18,0,0.0,0.0,3
7,15,44,0,0,0,0,21,7,0.5714285714285714,0.8571428571428571,1
7,24,57,0,1,0,1,21,6,0.0,0.7142857142857143,1
6,24,46,1,0,0,0,18,0,0.0,0.0,5
5,15,20,0,0,0,0,15,5,0.2,1.0,0
4,13,16,0,0,0,0,12,4,0.0,1.25,0
3,26,39,1,1,1,0,9,0,0.0,0.0,3
2,9,14,0,0,0,0,6,2,0.5,0.0,2
1,3,3,0,0,0,0,3,1,0.0,1.0,0
1,2,2,0,0,0,0,3,0,0.0,0.0,1
2,8,15,0,0,0,0,6,2,1.0,0.5,0
3,14,36,1,0,0,2,9,2,0.0,0.3333333333333333,2
4,12,23,0,0,0,0,12,0,0.0,0.0,0
5,10,24,0,0,0,0,15,5,0.2,1.0,0
6,17,37,0,0,0,0,18,3,0.0,0.3333333333333333,0
7,25,74,1,1,1,1,21,0,0.0,0.0,1
7,27,52,0,0,0,1,21,6,0.14285714285714285,0.7142857142857143,0
6,23,62,0,2,1,2,18,5,0.0,0.6666666666666666,2
5,11,36,0,0,0,0,15,0,0.0,0.0,0
4,12,23,0,0,1,0,12,4,0.25,0.75,0
3,20,30,0,1,0,0,9,2,0.0,0.3333333333333333,0
2,9,14,0,0,0,0,6,0,0.0,0.0,0
1,12,12,0,0,1,0,3,1,1.0,1.0,0
1,7,7,0,0,0,0,3,1,0.0,1.0,0
2,10,12,0,0,0,0,6,0,0.0,0.0,1
3,16,26,0,1,0,0,9,2,0.3333333333333333,0.3333333333333333,2
4,16,30,1,0,1,0,12,2,0.0,0.25,1
5,27,34,0,1,0,0,15,0,0.0,0.0,0
6,36,50,0,0,1,1,18,2,0.16666666666666666,0.16666666666666666,4
7,35,56,0,1,0,1,21,7,0.0,0.8571428571428571,0
7,25,61,0,1,1,1,21,0,0.0,0.0,5
6,18,34,0,1,1,0,18,4,0.3333333333333333,0.5,1
5,14,35,0,0,0,0,15,4,0.0,0.6,0
4,14,32,0,0,0,0,12,0,0.0,0.0,0
3,10,19,0,0,0,0,9,2,0.3333333333333333,0.3333333333333333,3
2,14,16,1,0,0,0,6,2,0.0,0.5,1
1,8,8,0,0,0,0,3,0,0.0,0.0,0
1,7,7,0,0,0,0,3,1,1.0,1.0,0
2,10,18,0,0,0,0,6,2,0.0,0.5,2
3,16,23,0,0,1,0,9,0,0.0,0.0,2
4,17,29,0,0,0,0,12,2,0.25,0.25,0
5,23,33,0,1,0,0,15,5,0.0,0.8,1
6,26,55,0,1,1,0,18,0,0.0,0.0,4
7,38,65,1,1,1,1,21,6,0.14285714285714285,0.7142857142857143,1
7,19,56,0,0,2,0,21,5,0.0,0.5714285714285714,1
6,27,66,1,1,1,0,18,0,0.0,0.0,5
5,28,39,1,0,1,0,15,2,0.2,0.2,1
4,17,28,0,0,0,1,12,2,0.0,0.25,0
3,16,24,1,0,0,0,9,0,0.0,0.0,0
2,8,16,0,0,0,0,6,2,0.5,0.5,0
1,11,11,0,0,0,1,3,1,0.0,1.0,0
1,2,2,0,0,0,0,3,0,0.0,0.0,0
2,8,15,0,0,0,0,6,2,0.5,0.5,0
3,12,22,0,0,1,0,9,3,0.0,0.6666666666666666,1
4,25,39,0,1,1,0,12,0,0.0,0.0,2
5,13,34,0,1,0,0,15,2,0.2,0.2,1
6,21,53,1,1,0,0,18,5,0.0,0.6666666666666666,1
7,15,52,1,1,0,0,21,0,0.0,0.0,0
7,24,63,0,1,1,0,21,4,0.14285714285714285,0.42857142857142855,3
6,24,48,2,0,0,0,18,5,0.0,0.6666666666666666,3
5,20,40,0,1,0,1,15,0,0.0,0.0,1
4,27,37,1,1,0,0,12,3,0.25,0.5,0
3,15,17,0,0,0,0,9,3,0.0,1.0,0
2,6,8,0,0,0,0,6,0,0.0,0.0,0
1,6,6,0,0,0,0,3,1,1.0,1.0,0
1,7,7,0,0,0,0,3,1,0.0,1.0,0
2,7,10,0,0,0,0,6,0,0.0,0.0,1
3,20,33,0,2,0,0,9,2,0.3333333333333333,0.3333333333333333,3
4,9,20,0,0,0,0,12,3,0.0,0.5,0
5,20,43,0,1,1,0,15,0,0.0,0.0,1
6,19,49,0,0,0,0,18,6,0.3333333333333333,0.8333333333333334,0
7,27,78,2,1,1,0,21,2,0.0,0.14285714285714285,3
7,26,60,1,0,1,0,21,0,0.0,0.0,4
6,21,47,1,0,0,0,18,5,0.3333333333333333,0.6666666666666666,1
5,15,50,0,1,1,1,15,5,0.0,1.0,2
4,26,41,1,0,1,0,12,0,0.0,0.0,2
3,12,31,0,0,1,1,9,2,0.3333333333333333,0.3333333333333333,0
2,11,21,0,0,0,1,6,2,0.0,0.5,0
1,14,14,1,0,0,0,3,0,0.0,0.0,1
1,14,14,1,0,0,0,3,1,1.0,1.0,1
2,14,14,0,0,0,1,6,2,0.0,0.5,0
3,13,25,0,1,0,0,9,0,0.0,0.0,0
4,9,23,0,0,0,0,12,2,0.25,0.25,2
5,12,30,0,0,1,0,15,2,0.0,0.2,1
6,23,65,2,0,1,0,18,0,0.0,0.0,5
7,21,58,1,1,0,1,21,2,0.14285714285714285,0.14285714285714285,3
7,23,52,1,0,1,0,21,4,0.0,0.42857142857142855,2
6,13,46,0,0,1,0,18,0,0.0,0.0,2
5,22,45,0,1,1,0,15,4,0.6,0.2,0
4,22,34,0,1,0,0,12,2,0.0,0.25,1
3,23,33,1,0,0,0,9,0,0.0,0.0,3
2,6,11,0,0,0,0,6,2,0.5,0.5,1
1,2,2,0,0,0,0,3,1,0.0,1.0,0
1,14,14,1,0,0,0,3,0,0.0,0.0,1
2,5,10,0,0,0,0,6,2,2.0,0.5,0
3,19,28,0,0,0,0,9,2,0.0,0.3333333333333333,0
4,16,38,0,1,0,2,12,0,0.0,0.0,1
5,20,45,1,0,1,0,15,5,0.2,1.0,0
6,25,65,2,0,0,1,18,4,0.0,0.5,0
7,31,56,0,0,1,1,21,0,0.0,0.0,1
7,21,41,0,1,0,0,21,4,0.42857142857142855,0.2857142857142857,1
6,13,37,0,1,0,0,18,6,0.0,0.8333333333333334,1
5,14,36,0,0,0,0,15,0,0.0,0.0,0
4,13,19,0,0,0,0,12,2,0.25,0.25,0
3,12,15,0,0,0,0,9,2,0.0,0.3333333333333333,2
2,7,13,0,0,0,0,6,0,0.0,0.0,0
1,10,10,0,0,0,0,3,1,1.0,1.0,0
1,14,14,1,0,0,0,3,1,0.0,1.0,0
2,13,25,0,1,1,0,6,0,0.0,0.0,2
3,16,18,0,0,0,0,9,2,0.3333333333333333,0.3333333333333333,2
4,17,23,0,0,0,0,12,4,0.0,1.25,0
5,17,48,1,0,1,1,15,0,0.0,0.0,3
6,23,58,0,0,1,2,18,5,0.3333333333333333,0.6666666666666666,0
7,44,61,1,0,1,1,21,3,0.0,0.2857142857142857,5
7,40,47,0,0,1,0,21,0,0.0,0.0,2
6,28,42,0,0,1,0,18,5,0.5,0.6666666666666666,0
5,16,35,0,1,0,1,15,4,0.0,0.6,0
4,27,44,1,2,0,0,12,0,0.0,0.0,4
3,16,28,0,0,1,0,9,3,0.3333333333333333,1.3333333333333333,0
2,9,11,0,0,0,0,6,2,0.0,0.5,0
1,2,2,0,0,0,0,3,0,0.0,0.0,1
1,3,3,0,0,0,0,3,1,1.0,1.0,0
2,14,26,1,0,1,0,6,2,0.0,1.0,1
3,11,15,0,0,0,0,9,0,0.0,0.0,0
4,15,30,0,0,0,0,12,3,0.5,0.25,1
5,24,34,1,0,0,0,15,5,0.0,1.0,0
6,17,42,0,0,0,0,18,0,0.0,0.0,1
7,35,63,1,0,1,1,21,4,0.42857142857142855,0.14285714285714285,2
7,28,55,0,0,2,0,21,6,0.0,0.7142857142857143,2
6,14,38,1,0,0,0,18,0,0.0,0.0,1
5,20,41,0,0,0,2,15,4,0.2,0.6,1
4,16,29,0,0,0,2,12,3,0.0,0.5,0
3,20,24,0,0,1,0,9,0,0.0,0.0,2
2,10,10,0,0,0,0,6,2,0.5,0.5,0
1,7,7,0,0,0,0,3,1,0.0,1.0,0
1,10,10,0,0,0,0,3,0,0.0,0.0,0
2,3,6,0,0,0,0,6,2,0.5,1.0,0
3,17,28,0,0,1,1,9,2,0.0,0.3333333333333333,1
4,17,34,0,1,0,0,12,0,0.0,0.0,0
5,33,41,1,0,0,0,15,5,0.4,0.8,0
6,15,46,0,0,1,0,18,4,0.0,0.5,1
7,23,77,2,0,1,1,21,0,0.0,0.0,4
7,29,69,2,0,0,0,21,4,0.42857142857142855,0.2857142857142857,3
6,27,43,1,0,0,0,18,4,0.0,0.5,1
5,36,48,1,1,0,0,15,0,0.0,0.0,5
4,15,28,0,1,0,0,12,2,0.25,0.25,4
3,9,21,0,0,0,0,9,3,0.0,0.6666666666666666,2
2,13,13,0,0,0,0,6,0,0.0,0.0,2
1,10,10,0,0,0,0,3,1,1.0,1.0,0
