7,34,61,0,2,0,1,21,6,0.7142857142857143,0.2857142857142857,4
6,14,48,1,0,0,1,18,1,0.0,0.0,1
5,18,44,1,0,0,2,15,5,0.0,0.8,0
4,11,15,0,0,0,0,12,3,0.25,0.5,1
3,25,37,0,1,2,0,9,1,0.0,0.0,0
2,9,11,0,0,0,0,6,2,0.0,0.5,0
1,8,8,0,0,0,0,3,1,0.0,0.0,1
1,13,13,0,1,0,0,3,1,0.0,0.0,1
2,10,16,0,0,0,0,6,2,0.5,0.0,1
3,12,26,0,0,1,0,9,3,0.6666666666666666,0.0,0
7,19,40,0,0,0,1,21,6,0.7142857142857143,0.0,0
6,21,35,0,0,0,0,18,3,0.3333333333333333,0.16666666666666666,0
5,29,51,0,1,0,1,15,1,0.0,0.0,2
4,12,32,0,0,1,0,12,4,0.5,0.75,1
3,21,31,0,0,0,1,9,3,0.6666666666666666,1.0,1
2,7,10,0,0,0,0,6,2,1.0,0.0,0
1,2,2,0,0,0,0,3,1,0.0,0.0,0
1,12,12,0,0,1,0,3,1,0.0,0.0,1
2,23,23,0,1,0,0,6,2,1.5,0.0,0
3,25,30,1,0,0,1,9,2,0.0,0.3333333333333333,0
4,21,36,1,1,0,0,12,2,0.0,0.25,3
5,14,37,1,0,0,0,15,3,0.4,0.4,0
6,34,62,1,1,0,2,18,3,0.3333333333333333,0.3333333333333333,4
7,22,45,0,0,1,0,21,6,0.7142857142857143,0.14285714285714285,0
7,19,49,0,0,0,1,21,6,0.5714285714285714,0.7142857142857143,1
6,16,37,0,0,0,0,18,3,0.3333333333333333,0.16666666666666666,0
5,29,50,0,1,0,1,15,2,0.0,0.2,4
4,23,28,1,0,0,0,12,3,0.5,0.5,1
3,10,16,0,0,0,0,9,2,0.3333333333333333,0.3333333333333333,1
2,8,13,0,0,0,0,6,2,0.5,0.5,0
1,3,3,0,0,0,0,3,1,1.0,1.0,0
1,8,8,0,0,0,0,3,1,1.0,1.0,0
2,13,20,0,1,0,0,6,2,1.0,0.5,0
3,27,37,1,1,0,0,9,3,0.3333333333333333,0.6666666666666666,1
4,15,28,0,1,0,0,12,4,0.25,0.75,1
5,21,46,1,0,0,1,15,3,0.4,0.2,0
6,24,50,0,0,0,1,18,6,1.1666666666666667,0.6666666666666666,0
7,21,56,2,0,0,0,21,7,1.0,0.5714285714285714,1
7,22,52,0,1,1,0,21,5,0.2857142857142857,0.5714285714285714,0
6,12,31,0,0,0,0,18,2,0.16666666666666666,0.16666666666666666,1
5,32,46,1,0,0,1,15,3,0.4,0.2,3
4,14,41,2,0,0,0,12,3,0.5,0.25,1
3,22,26,0,1,0,0,9,3,0.3333333333333333,0.6666666666666666,1
2,13,19,0,1,0,0,6,2,0.5,0.5,0
1,5,5,0,0,0,0,3,1,1.0,1.0,0
1,5,5,0,0,0,0,3,1,1.0,1.0,0
2,8,15,0,0,0,0,6,2,0.5,0.5,0
3,13,28,0,1,0,1,9,3,0.6666666666666666,1.0,1
4,19,36,0,1,1,0,12,2,0.25,0.25,1
5,18,42,0,0,1,0,15,4,0.4,0.6,1
6,15,40,0,1,0,0,18,3,0.3333333333333333,0.16666666666666666,3
7,24,50,1,0,1,0,21,6,0.7142857142857143,0.2857142857142857,1
